token_address,chain,token_name,price_usd,liquidity_usd,market_cap_usd,liquidity_to_market_cap_ratio,token_volume,volume_usd,volume_to_liquidity_ratio,locked_liquidity_percent,locked_95_for_15_days,creator_under_5_percent,creator_percent_of_lp,owner_under_5_percent,owner_percent_of_lp,total_lp_supply,lp_holders_count,error
0xc244BBF8Fa931aF1BfA8B1De50d8C8cd7E5d000f,bsc,AIDIRT,9.67566380107999e-05,0.00018711299010251478,96756638010799.9,1.9338517123923774e-18,987.648209114,0.09556152025125811,510.71558526696737,99.5,False,True,0.0001,True,0.0001,0.2573423876650273,4,
0xC2604f8a88BEd5AB6c16c9617335219d18dc26aE,bsc,First Entrance Coin,4.258574923727756e-19,3.6247734880973534e-10,183317686.599305,1.9773179311499646e-18,5560137.86996155,2.367826370548732e-12,0.00653234299556634,0.0,False,True,0.0,True,0.0,7.52938127085951,2,
0xc261e9aD5A78E834Ff42F26F14E75F179dC5eb44,bsc,Trillioner,4.881891214698626e-16,2.2683845793261191e-07,488189121469.8627,4.646528321844535e-19,955158787.3491799,4.662981292602155e-07,2.0556396543602897,0.0,False,True,0.0,True,0.0,139.11529604222534,2,
0xC2622F00a7c507be7A1d47Da53abDC737D9Cb741,bsc,BAX COIN,2.509299987735792e-12,4.835052168218696e-07,25092999877357.92,1.9268529836408645e-20,0.0,0.0,0.0,0.0,False,False,46.1685,False,46.1685,4.12935251393278,2,Liquidity pool info could not be retrieved.
0xc27dCE9437Ab8c3a99F9d68B5445d9f032cc9C12,bsc,PassiveJuice,0.018287747165551566,0.0005552123560044313,1.8287747165551564e+16,3.035980052536372e-20,461226.289032555,8434.789759932975,15192006.569583,89.94,False,False,96.5,False,96.5,0.055590351140637526,4,
0xC28C6faAbb9EC75240784A59F8F5404829A8b670,bsc,BitDAO,29723.06510988514,5.944613021977029e-14,2.972306510988514e+16,2.0000000000000005e-30,0.0,0.0,0.0,100.0,False,False,99.43,True,0.0,1e-15,1,Liquidity pool info could not be retrieved.
0xC2bC322D78a8CAf843fB849bb95A7719fF9337dA,bsc,MoonShot,3.1516143637398524e-11,4.675199840365449e-08,30685060234.321796,1.5236078419478393e-18,5847807173.387435,0.18430033084028785,3942084.555381948,0.0,False,False,13.0767,False,13.0767,0.11386392493335112,2,
0xC2C498d032876AbFaA04c22D0Af9DbeBcaf67437,bsc,dGestify,2918.051788584641,5.836103577169283e-15,2.918051788584641e+23,2.0000000000000002e-38,0.0,0.0,0.0,100.0,False,False,99.9997,True,0.0,1e-15,1,Liquidity pool info could not be retrieved.
0xc2dF5A72Fe06Ce0c8c575650CEa38BDbC3FB09db,bsc,EtherLand,14100.821825071785,2.8201643650143574e-14,1.4100821825071786e+16,2e-30,0.0,0.0,0.0,100.0,False,False,92.8247,True,0.0,1e-15,1,Liquidity pool info could not be retrieved.
0xC2ED94cf7E8F4862725130d520B20Ca3a07b5CE8,bsc,Enigma,105.01148814621745,8.400919051697397e-16,1.0375756096625344e+17,8.096681315041463e-33,0.0,0.0,0.0,100.0,False,False,97.6106,True,0.0,1e-15,1,Liquidity pool info could not be retrieved.
